source,status,team,slug,region,world_rank,regional_rank,regional_label,winrate,wins,draws,losses,rating,kd,maps,prize,source_team_url,fetched_at,error
5e,ok,GamerLegion,gamerlegion,eu,27,36,欧洲,0.52,460,1,417,1.02,1.01,877,193100,https://csgo.5eplay.com/data/team/gamerlegion,2026-06-01T09:00:40.886344+00:00,
5e,ok,B8,b8,ua,,24,独联体,0.42,25,0,34,0.97,1,59,,https://csgo.5eplay.com/data/team/b8,2026-06-01T09:00:40.886344+00:00,
5e,error,,betboom,,,,,,,,,,,,,https://csgo.5eplay.com/data/team/betboom,2026-06-01T09:00:40.886344+00:00,"all fetchers failed for https://csgo.5eplay.com/data/team/betboom: urllib: HTTP Error 404: Not Found; requests: requests is not installed; install cs2pickem[scrape] for this fallback; curl: Command '['curl', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', '-H', 'User-Agent: cs2pickem-offline-research/0.1 (+personal analytics)', 'https://csgo.5eplay.com/data/team/betboom']' returned non-zero exit status 22."
5e,ok,MIBR,mibr,br,22,4,南美洲,0.55,515,8,416,1.04,1.07,939,1958419,https://csgo.5eplay.com/data/team/mibr,2026-06-01T09:00:40.886344+00:00,
5e,ok,Heroic,heroic,dk,2,2,欧洲,0.57,810,0,614,1.02,1.04,1424,2336672,https://csgo.5eplay.com/data/team/heroic,2026-06-01T09:00:40.886344+00:00,
5e,ok,Lynn Vision,lynn-vision,cn,84,19,亚洲,0.51,197,0,186,0.99,1.01,383,,https://csgo.5eplay.com/data/team/lynn-vision,2026-06-01T09:00:40.886344+00:00,
5e,ok,BIG,big,de,16,11,欧洲,0.55,732,2,603,1.03,1.02,1337,1731158,https://csgo.5eplay.com/data/team/big,2026-06-01T09:00:40.886344+00:00,
5e,ok,TYLOO,tyloo,cn,78,18,亚洲,0.66,888,1,453,1.06,1.11,1342,1656881,https://csgo.5eplay.com/data/team/tyloo,2026-06-01T09:00:40.886344+00:00,
5e,ok,SINNERS,sinners,cz,69,84,欧洲,0.57,468,1,360,1.04,1.05,828,,https://csgo.5eplay.com/data/team/sinners,2026-06-01T09:00:40.886344+00:00,
5e,error,,m80,,,,,,,,,,,,,https://csgo.5eplay.com/data/team/m80,2026-06-01T09:00:40.886344+00:00,"all fetchers failed for https://csgo.5eplay.com/data/team/m80: urllib: HTTP Error 404: Not Found; requests: requests is not installed; install cs2pickem[scrape] for this fallback; curl: Command '['curl', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', '-H', 'User-Agent: cs2pickem-offline-research/0.1 (+personal analytics)', 'https://csgo.5eplay.com/data/team/m80']' returned non-zero exit status 22."
5e,ok,Liquid,liquid,us,3,1,北美洲,0.6,1017,1,691,1.04,1.06,1709,5374353,https://csgo.5eplay.com/data/team/liquid,2026-06-01T09:00:40.886344+00:00,
5e,ok,Sharks,sharks,br,127,39,南美洲,0.56,381,1,297,1.03,1.03,678,211281,https://csgo.5eplay.com/data/team/sharks,2026-06-01T09:00:40.886344+00:00,
5e,ok,NRG,nrg,us,,2,北美洲,0.58,447,1,325,1.01,1.05,773,1088900,https://csgo.5eplay.com/data/team/nrg,2026-06-01T09:00:40.886344+00:00,
5e,ok,Gaimin Gladiators,gaimin-gladiators,us,49,24,北美洲,0.61,77,0,50,1.01,1.07,127,,https://csgo.5eplay.com/data/team/gaimin-gladiators,2026-06-01T09:00:40.886344+00:00,
5e,error,,thunder-downunder,,,,,,,,,,,,,https://csgo.5eplay.com/data/team/thunder-downunder,2026-06-01T09:00:40.886344+00:00,"all fetchers failed for https://csgo.5eplay.com/data/team/thunder-downunder: urllib: HTTP Error 404: Not Found; requests: requests is not installed; install cs2pickem[scrape] for this fallback; curl: Command '['curl', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', '-H', 'User-Agent: cs2pickem-offline-research/0.1 (+personal analytics)', 'https://csgo.5eplay.com/data/team/thunder-downunder']' returned non-zero exit status 22."
5e,error,,flyquest,,,,,,,,,,,,,https://csgo.5eplay.com/data/team/flyquest,2026-06-01T09:00:40.886344+00:00,"all fetchers failed for https://csgo.5eplay.com/data/team/flyquest: urllib: HTTP Error 404: Not Found; requests: requests is not installed; install cs2pickem[scrape] for this fallback; curl: Command '['curl', '-L', '--fail', '--silent', '--show-error', '--max-time', '30', '-H', 'User-Agent: cs2pickem-offline-research/0.1 (+personal analytics)', 'https://csgo.5eplay.com/data/team/flyquest']' returned non-zero exit status 22."
