team,wins,losses,status,source
B8,3,0,advanced,esports.gg+dfrag
BetBoom,3,0,advanced,esports.gg+dfrag
BIG,2,1,alive,esports.gg+dfrag
GamerLegion,2,1,alive,esports.gg+dfrag
Lynn Vision,2,1,alive,esports.gg+dfrag
M80,2,1,alive,esports.gg+dfrag
MIBR,2,1,alive,esports.gg+dfrag
NRG,2,1,alive,esports.gg+dfrag
FlyQuest,1,2,alive,esports.gg+dfrag
HEROIC,1,2,alive,esports.gg+dfrag
Liquid,1,2,alive,esports.gg+dfrag
Sharks,1,2,alive,esports.gg+dfrag
THUNDER dOWNUNDER,1,2,alive,esports.gg+dfrag
TYLOO,1,2,alive,esports.gg+dfrag
Gaimin Gladiators,0,3,eliminated,esports.gg+dfrag
SINNERS,0,3,eliminated,esports.gg+dfrag
