source,team,player,slug,source_player_url,source_team_url,fetched_at
5e,Case,steel,steel,https://csgo.5eplay.com/data/player/steel,https://csgo.5eplay.com/data/team/case,2026-06-01T08:54:33.749464+00:00
5e,Case,leo_drk,leo-drk,https://csgo.5eplay.com/data/player/leo-drk,https://csgo.5eplay.com/data/team/case,2026-06-01T08:54:33.749464+00:00
5e,Case,RCF,rcf,https://csgo.5eplay.com/data/player/rcf,https://csgo.5eplay.com/data/team/case,2026-06-01T08:54:33.749464+00:00
5e,Case,honda,honda,https://csgo.5eplay.com/data/player/honda,https://csgo.5eplay.com/data/team/case,2026-06-01T08:54:33.749464+00:00
5e,Case,yepz,yepz,https://csgo.5eplay.com/data/player/yepz,https://csgo.5eplay.com/data/team/case,2026-06-01T08:54:33.749464+00:00
5e,Natus Vincere,s1mple,s1mple,https://csgo.5eplay.com/data/player/s1mple,https://csgo.5eplay.com/data/team/natus-vincere,2026-06-01T08:54:33.749464+00:00
5e,Natus Vincere,electroNic,electronic,https://csgo.5eplay.com/data/player/electronic,https://csgo.5eplay.com/data/team/natus-vincere,2026-06-01T08:54:33.749464+00:00
5e,Natus Vincere,Perfecto,perfecto,https://csgo.5eplay.com/data/player/perfecto,https://csgo.5eplay.com/data/team/natus-vincere,2026-06-01T08:54:33.749464+00:00
5e,Natus Vincere,B1t,b1t,https://csgo.5eplay.com/data/player/b1t,https://csgo.5eplay.com/data/team/natus-vincere,2026-06-01T08:54:33.749464+00:00
5e,Natus Vincere,npl,npl,https://csgo.5eplay.com/data/player/npl,https://csgo.5eplay.com/data/team/natus-vincere,2026-06-01T08:54:33.749464+00:00
5e,FaZe,karrigan,karrigan,https://csgo.5eplay.com/data/player/karrigan,https://csgo.5eplay.com/data/team/faze,2026-06-01T08:54:33.749464+00:00
5e,FaZe,rain,rain,https://csgo.5eplay.com/data/player/rain,https://csgo.5eplay.com/data/team/faze,2026-06-01T08:54:33.749464+00:00
5e,FaZe,Twistzz,twistzz,https://csgo.5eplay.com/data/player/twistzz,https://csgo.5eplay.com/data/team/faze,2026-06-01T08:54:33.749464+00:00
5e,FaZe,es3tag,es3tag,https://csgo.5eplay.com/data/player/es3tag,https://csgo.5eplay.com/data/team/faze,2026-06-01T08:54:33.749464+00:00
5e,FaZe,ropz,ropz,https://csgo.5eplay.com/data/player/ropz,https://csgo.5eplay.com/data/team/faze,2026-06-01T08:54:33.749464+00:00
