team,seed,rank,rmr_points,qualification,source_url
GamerLegion,1,11,1439,VRS (Europe),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
B8,2,16,1405,VRS (Europe),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
BetBoom,3,17,1407,VRS (Europe),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
MIBR,4,19,1392,VRS (Americas),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
HEROIC,5,23,1401,VRS (Europe),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
Lynn Vision,6,24,1353,VRS (Asia),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
BIG,7,27,1415,VRS (Europe),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
TYLOO,8,29,1330,VRS (Asia),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
SINNERS,9,30,1395,VRS (Europe),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
M80,10,31,1266,VRS (Americas),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
Liquid,11,42,1306,VRS (Americas),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
Sharks,12,45,1234,VRS (Americas),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
NRG,13,49,1237,VRS (Americas),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
Gaimin Gladiators,14,53,1229,VRS (Americas),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
THUNDER dOWNUNDER,15,57,1214,VRS (Asia),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
FlyQuest,16,78,1261,VRS (Asia),https://www.hltv.org/events/9028/iem-cologne-major-2026-stage-1
